Year,Total,Birth,Death,Tu14,T14,Tm,T64,To65,Du14,Dm,Do65
1950,83200000,2337507,904876,29430000,1817000,49661000,379000,4109000,252889,358010,293977
1951,84541000,2137689,838998,29662000,1789000,50734000,423000,4177000,228026,319583,291389
1952,85808000,2005162,765068,29700000,1708000,51845000,444000,4306000,181816,292556,290696
1953,86981000,1868040,772547,29752000,1577000,52854000,469000,4428000,164554,287025,320968
1954,88239000,1769580,721491,29888000,1798000,53805000,464000,4600000,142491,279873,299127
1955,89276000,1730692,693523,29798000,1966000,54730000,425000,4747000,120187,267239,306097
1956,90172000,1665278,724460,29414000,1995000,56002000,472000,4843000,114179,272199,338082
1957,90928000,1566713,752445,28909000,1929000,57241000,468000,4938000,105795,281201,365449
1958,91767000,1653469,684189,28513000,1977000,58433000,491000,5065000,92552,261863,329774
1959,92641000,1626088,689959,28109000,1628000,59656000,518000,5209000,88451,259456,342052
1960,93419000,1606041,706599,28067000,1508000,60002000,528000,5350000,78446,259991,368162
1961,94287000,1589372,695644,28067000,2341000,60715000,539000,5503000,71485,253735,370424
1962,95181000,1618616,710265,27274000,2456000,62261000,572000,5642000,65582,252359,392324
1963,96156000,1659521,670770,26416000,2468000,63903000,559000,5836000,58107,242935,369728
1964,97182000,1716761,673067,25590000,2229000,65580000,607000,6016000,53210,240605,379252
1965,98275000,1823697,700438,25166000,2054000,66928000,632000,6181000,50726,241963,407749
1966,99036000,1360974,670342,24521000,1926000,68112000,651000,6420000,42416,236886,391040
1967,100196000,1935647,675006,24416000,1812000,69161000,659000,6666000,43454,232052,399500
1968,101331000,1871839,686555,24422000,1691000,70086000,626000,6899000,42714,231117,412724
1969,102536000,1889815,693787,24601000,1694000,70938000,652000,7109000,40875,232874,420038
1970,103720000,1934239,712962,24823000,1604000,71566000,623000,7331000,39313,234870,438779
1971,105145000,2000973,684521,25169000,1519000,72321000,719000,7524000,37970,225143,421408
1972,107595000,2038682,683751,25970000,1585000,73483000,730000,7879000,37181,222479,424091
1973,109104000,2091983,709416,26447000,1621000,74104000,767000,8160000,37226,221369,450821
1974,110573000,2029989,710510,26850000,1593000,74742000,782000,8457000,34352,216242,459916
1975,111940000,1901440,702275,27232000,1574000,75839000,803000,8869000,31134,211318,459823
1976,113094000,1832617,703270,27492000,1592000,76395000,832000,9201000,28309,206723,468328
1977,114165000,1755100,690074,27649000,1641000,76944000,834000,9561000,26234,201988,461852
1978,115190000,1708643,695821,27708000,1679000,77545000,861000,9921000,24352,199177,472292
1979,116155000,1642580,689664,27664000,1795000,78161000,847000,10309000,22064,196636,470964
1980,117060000,1576889,722801,27524000,1446000,78884000,868000,10653000,20698,198708,503395
1981,117902000,1529455,720262,27603000,1856000,79272000,850000,11009000,19235,196851,504176
1982,118728000,1515392,711883,27254000,1849000,80089000,842000,11350000,17649,196140,498094
1983,119536000,1508687,740038,26907000,1892000,80904000,815000,11672000,16626,202682,520730
1984,120305000,1489780,740247,26504000,1922000,81776000,995000,11956000,15613,202842,521792
1985,121049000,1431577,752283,26042000,1983000,82535000,950000,12472000,14274,202328,535681
1986,121660000,1382946,750620,25434000,2030000,83368000,995000,12870000,13226,201619,535775
1987,122239000,1346658,751172,24753000,2069000,84189000,1038000,13322000,12355,200758,538059
1988,122745000,1314006,793014,23985000,2035000,85013000,1106000,13785000,11656,204174,577184
1989,123205000,1246802,788594,23201000,1927000,85745000,1209000,14309000,10895,202849,574850
1990,123611000,1221585,820305,22544000,1845000,86140000,1272000,14928000,10602,204580,605123
1991,124101000,1223245,829797,21904000,1754000,86557000,1301000,15582000,9951,204866,614980
