Year,Total,Birth,Death
1950,83200000,2337507,904876
1951,84541000,2137689,838998
1952,85808000,2005162,765068
1953,86981000,1868040,772547
1954,88239000,1769580,721491
1955,89276000,1730692,693523
1956,90172000,1665278,724460
1957,90928000,1566713,752445
1958,91767000,1653469,684189
1959,92641000,1626088,689959
1960,93419000,1606041,706599
1961,94287000,1589372,695644
1962,95181000,1618616,710265
1963,96156000,1659521,670770
1964,97182000,1716761,673067
1965,98275000,1823697,700438
1966,99036000,1360974,670342
1967,100196000,1935647,675006
1968,101331000,1871839,686555
1969,102536000,1889815,693787
1970,103720000,1934239,712962
1971,105145000,2000973,684521
1972,107595000,2038682,683751
1973,109104000,2091983,709416
1974,110573000,2029989,710510
1975,111940000,1901440,702275
1976,113094000,1832617,703270
1977,114165000,1755100,690074
1978,115190000,1708643,695821
1979,116155000,1642580,689664
1980,117060000,1576889,722801
1981,117902000,1529455,720262
1982,118728000,1515392,711883
1983,119536000,1508687,740038
1984,120305000,1489780,740247
1985,121049000,1431577,752283
1986,121660000,1382946,750620
1987,122239000,1346658,751172
1988,122745000,1314006,793014
1989,123205000,1246802,788594
1990,123611000,1221585,820305
1991,124101000,1223245,829797
1992,124567000,1208989,856643
1993,124938000,1188282,878532
1994,125265000,1238328,875933
1995,125570000,1187064,922139
1996,125859000,1206555,896211
1997,126157000,1191665,913402
1998,126472000,1203147,936484
1999,126667000,1177669,982031
2000,126926000,1190547,961653
2001,127316000,1170662,970331
2002,127486000,1153855,982379
2003,127694000,1123610,1014951
2004,127787000,1110721,1028602
2005,127768000,1062530,1083796
2006,127901000,1092674,1084450
2007,128033000,1089818,1108334
2008,128084000,1091156,1142407
2009,128032000,1070035,1141865
2010,128057000,1071304,1197012
2011,127834000,1050806,1253066
2012,127593000,1037231,1256359
2013,127414000,1029816,1268436
2014,127237000,1003539,1273004
2015,127095000,1005677,1290444
2016,126933000,976978,1307748
2017,126706000,946146,1340567
2018,126443000,918400,1362470
2019,126167000,865239,1381093
2020,126146000,840835,1372755
